,SECTOR,ESTADO,CAT_OCUP,P21,P47T,NIVEL_ED,CH04,CH06,CH07,CH08
SECTOR,1.0,,-0.17157665896726923,-0.37480212186573664,-0.3350627144405722,-0.34742366284725673,0.1686663005581026,0.0016431521684217376,0.05384650693433672,0.30925694950507904
ESTADO,,1.0,-0.9183777495589118,-0.5876363925533807,-0.5002423015867946,-0.16688287298918347,0.1089179467494279,-0.29138598166076457,0.37855446505087925,0.01758663871512729
CAT_OCUP,-0.17157665896726923,-0.9183777495589118,1.0,0.5810811378383792,0.462457128645737,0.21176056291410267,-0.11313497947337667,0.1482448145032486,-0.30212564405049724,-0.01547408388492929
P21,-0.37480212186573664,-0.5876363925533807,0.5810811378383792,1.0,0.8593042172985671,0.2327978988330468,-0.14404402052969714,0.13789677687877136,-0.274193377115589,-0.10146448555999496
P47T,-0.3350627144405722,-0.5002423015867946,0.462457128645737,0.8593042172985671,1.0,0.2359245341561992,-0.0976669301331831,0.3809957000918525,-0.337901789516569,-0.14378946830209224
NIVEL_ED,-0.34742366284725673,-0.16688287298918347,0.21176056291410267,0.2327978988330468,0.2359245341561992,1.0,0.06458805777491143,0.015208928546610233,-0.07329515949444956,-0.06359049623042343
CH04,0.1686663005581026,0.1089179467494279,-0.11313497947337667,-0.14404402052969714,-0.0976669301331831,0.06458805777491143,1.0,0.06392524791185836,-0.0057659133934375596,-0.015002454700333415
CH06,0.0016431521684217376,-0.29138598166076457,0.1482448145032486,0.13789677687877136,0.3809957000918525,0.015208928546610233,0.06392524791185836,1.0,-0.50179936671228,-0.18552406406407063
CH07,0.05384650693433672,0.37855446505087925,-0.30212564405049724,-0.274193377115589,-0.337901789516569,-0.07329515949444956,-0.0057659133934375596,-0.50179936671228,1.0,0.09484412395505006
CH08,0.30925694950507904,0.01758663871512729,-0.01547408388492929,-0.10146448555999496,-0.14378946830209224,-0.06359049623042343,-0.015002454700333415,-0.18552406406407063,0.09484412395505006,1.0
