Año,Base,Variable,Porcentaje_faltantes,N
2024,Respondieron,CH04,0.0,46804
2024,Respondieron,CH06,0.6537902743355268,46804
2024,Respondieron,CH07,0.0,46804
2024,Respondieron,CH08,0.08973592000683703,46804
2024,Respondieron,NIVEL_ED,0.0,46804
2024,Respondieron,ESTADO,0.0,46804
2024,Respondieron,CAT_OCUP,0.0064097085719169306,46804
2024,Respondieron,EMPLEO,54.884197931800706,46804
2024,Respondieron,SECTOR,56.68105290146141,46804
2024,Respondieron,PP04C,60.63797965985813,46804
2024,Respondieron,PP04D_COD,54.877788223228784,46804
2024,Respondieron,P21,9.133834714981626,46804
2024,Respondieron,P47T,12.614306469532519,46804
2024,Respondieron,PP07H,67.32757883941544,46804
2024,Respondieron,PP3E_TOT,54.94402187847193,46804
2024,Respondieron,REGION,0.0,46804
2024,Respondieron,AGLOMERADO,0.0,46804
2024,Respondieron,PP04B_COD,54.850012819417145,46804
2024,Respondieron,PP04G,57.86043927869413,46804
2024,Respondieron,COMPONENTE,0.0,46804
2024,Ocupados,CH04,0.0,21132
2024,Ocupados,CH06,0.0,21132
2024,Ocupados,CH07,0.0,21132
2024,Ocupados,CH08,0.09937535491198182,21132
2024,Ocupados,NIVEL_ED,0.0,21132
2024,Ocupados,ESTADO,0.0,21132
2024,Ocupados,CAT_OCUP,0.0,21132
2024,Ocupados,EMPLEO,0.07571455612341473,21132
2024,Ocupados,SECTOR,4.0554609123604015,21132
2024,Ocupados,PP04C,12.819420783645654,21132
2024,Ocupados,PP04D_COD,0.06151807685027446,21132
2024,Ocupados,P21,20.22998296422487,21132
2024,Ocupados,P47T,22.080257429490818,21132
2024,Ocupados,PP07H,27.635812985046375,21132
2024,Ocupados,PP3E_TOT,0.2082150293393905,21132
2024,Ocupados,REGION,0.0,21132
2024,Ocupados,AGLOMERADO,0.0,21132
2024,Ocupados,PP04B_COD,0.0,21132
2024,Ocupados,PP04G,6.66761309861821,21132
2024,Ocupados,COMPONENTE,0.0,21132
2025,Respondieron,CH04,0.0,43638
2025,Respondieron,CH06,0.5660204409001329,43638
2025,Respondieron,CH07,0.002291580732389202,43638
2025,Respondieron,CH08,0.23603281543608784,43638
2025,Respondieron,NIVEL_ED,0.0,43638
2025,Respondieron,ESTADO,0.0,43638
2025,Respondieron,CAT_OCUP,0.0068747421971676066,43638
2025,Respondieron,EMPLEO,54.883358540721396,43638
2025,Respondieron,SECTOR,56.579128282689396,43638
2025,Respondieron,PP04C,61.033961226454004,43638
2025,Respondieron,PP04D_COD,54.89939960584811,43638
2025,Respondieron,P21,8.969246986571337,43638
2025,Respondieron,P47T,12.727439387689628,43638
2025,Respondieron,PP07H,68.04848984829735,43638
2025,Respondieron,PP3E_TOT,54.95898070489024,43638
2025,Respondieron,REGION,0.0,43638
2025,Respondieron,AGLOMERADO,0.0,43638
2025,Respondieron,PP04B_COD,54.8604427333975,43638
2025,Respondieron,PP04G,57.93574407626381,43638
2025,Respondieron,COMPONENTE,0.0,43638
2025,Ocupados,CH04,0.0,19698
2025,Ocupados,CH06,0.0,19698
2025,Ocupados,CH07,0.005076657528683115,19698
2025,Ocupados,CH08,0.16245304091785967,19698
2025,Ocupados,NIVEL_ED,0.0,19698
2025,Ocupados,ESTADO,0.0,19698
2025,Ocupados,CAT_OCUP,0.0,19698
2025,Ocupados,EMPLEO,0.05076657528683116,19698
2025,Ocupados,SECTOR,3.8074931465123365,19698
2025,Ocupados,PP04C,13.676515382272312,19698
2025,Ocupados,PP04D_COD,0.08630317798761296,19698
2025,Ocupados,P21,19.87003756726571,19698
2025,Ocupados,P47T,21.900700578738956,19698
2025,Ocupados,PP07H,29.216164077571328,19698
2025,Ocupados,PP3E_TOT,0.21829627373337393,19698
2025,Ocupados,REGION,0.0,19698
2025,Ocupados,AGLOMERADO,0.0,19698
2025,Ocupados,PP04B_COD,0.0,19698
2025,Ocupados,PP04G,6.8128744034927395,19698
2025,Ocupados,COMPONENTE,0.0,19698
