k,inercia
1,38556.00000000016
2,30312.620231294604
3,25067.160114023136
4,22688.396523754534
5,20752.626993419144
6,19127.52541348155
7,17861.47956911054
8,16882.8023504811
9,16176.573009383697
10,15531.362041580169
11,15021.34127611231
12,14548.012426331383
13,14088.5284164723
14,13673.539802257541
15,13324.241935424823
16,12986.868926129078
17,12678.566161078124
18,12407.42576543828
19,12137.509647600918
20,11883.376865076127
21,11622.404658516474
22,11429.453002311717
23,11177.294279637097
24,10992.044845852215
25,10826.340904092169
26,10672.328476233071
27,10559.730633831225
28,10426.411464499153
29,10271.48395889172
30,10151.174051517495
31,10043.194182598198
32,9902.988643338931
33,9766.649630077112
34,9689.178437818275
35,9532.015667941743
36,9445.161566256726
37,9358.819546843502
38,9292.793987355462
39,9159.932098095222
40,9088.657278704233
