anio,variable,observaciones,promedio,sd,min,p25,p50,p75,max
2024,CH06,46554.0,37.01,22.04,1.0,19.0,35.0,54.0,103.0
2024,edad2,46554.0,1855.37,1856.53,1.0,361.0,1225.0,2916.0,10609.0
2024,educ,22411.0,8.01,4.72,0.0,4.0,8.0,12.0,22.0
2024,horastrabj,21119.0,37.25,16.73,0.0,25.0,40.0,48.0,154.0
2024,nhogar,46860.0,3.79,1.92,1.0,2.0,4.0,5.0,19.0
2024,P21,42585.0,327820.77,649640.43,0.0,0.0,0.0,499700.0,19725000.0
2024,P47T,40900.0,492135.58,734639.81,0.0,0.0,315600.0,715763.7,21697500.0
2024,PP04C,18423.0,4.99,3.79,0.0,1.0,5.0,8.0,12.0
2024,mujer,46860.0,0.52,0.5,0.0,0.0,1.0,1.0,1.0
2024,casado_unido,46859.0,0.38,0.48,0.0,0.0,0.0,1.0,1.0
2024,educacion_superior,46860.0,0.27,0.44,0.0,0.0,0.0,1.0,1.0
2024,sin_descuento_jubilatorio,15292.0,0.36,0.48,0.0,0.0,0.0,1.0,1.0
2025,CH06,43456.0,37.81,22.2,1.0,19.0,36.0,55.0,101.0
2025,edad2,43456.0,1922.05,1897.7,1.0,361.0,1296.0,3025.0,10201.0
2025,educ,20476.0,8.06,4.69,0.0,4.0,8.0,12.0,21.0
2025,horastrabj,19689.0,37.43,16.88,0.0,25.0,40.0,48.0,168.0
2025,nhogar,43703.0,3.75,1.87,1.0,2.0,4.0,5.0,16.0
2025,P21,39789.0,363850.0,727481.68,0.0,0.0,0.0,600000.0,30000000.0
2025,P47T,38084.0,544200.38,843555.13,0.0,0.0,350000.0,800000.0,30000000.0
2025,PP04C,17004.0,4.8,3.78,0.0,1.0,4.0,8.0,12.0
2025,mujer,43703.0,0.53,0.5,0.0,0.0,1.0,1.0,1.0
2025,casado_unido,43700.0,0.38,0.48,0.0,0.0,0.0,1.0,1.0
2025,educacion_superior,43703.0,0.27,0.44,0.0,0.0,0.0,1.0,1.0
2025,sin_descuento_jubilatorio,13943.0,0.37,0.48,0.0,0.0,0.0,1.0,1.0
